1 1:0.000866289 2:-0.00275919 3:0.00614988 4:0.0235324 5:-0.0204715 6:0.0822743 7:0.807886 8:0.188503 9:0.00361096 10:0.00789739 11:0.996389 12:0.287886 13:0.00301989
1 1:0.0105298 2:0.00510921 3:0.00281222 4:0.00330693 5:0.0035795 6:0.033659 7:0.641856 8:0.342243 9:0.0159012 10:0.00617282 11:0.984099 12:0.174805 13:0.0115726
0 1:3.28996e-10 2:3.64173e-11 3:-3.58241e-12 4:5.90227e-05 5:1.47709e-05 6:0.199055 7:0.999703 8:0.000296507 9:1.6528e-09 10:1.56937e-05 11:1 12:0.321884 13:1.65231e-09
1 1:0.00560621 2:-0.00427686 3:0.00467602 4:0.0228666 5:-0.0196662 6:0.0866198 7:0.806409 8:0.143849 9:0.0497421 10:0.0196938 11:0.950258 12:0.317142 13:0.0400071
0 1:0.000497278 2:0.000897286 3:9.38082e-05 4:0.00280832 5:0.000240548 6:0.237532 7:0.986884 8:0.0123171 9:0.000799068 10:0.0051982 11:0.999201 12:0.361049 13:0.000788101
1 1:0.00445632 2:0.00883957 3:-0.00582024 4:0.0252647 5:-0.0280145 6:0.0745354 7:0.826746 8:0.164015 9:0.00923962 10:0.0103137 11:0.99076 12:0.283783 13:0.00781367
1 1:0.00491 2:0.00947421 3:-0.00121993 4:0.0232746 5:-0.0161197 6:0.0825998 7:0.730576 8:0.263264 9:0.00616041 10:0.010283 11:0.99384 12:0.304121 13:0.00482948
0 1:0.0252952 2:-0.0196012 3:-0.000321991 4:0.0151889 5:0.000249461 6:0.486758 7:0.91683 8:0.0831702 9:-4.64276e-08 10:-nan 11:1 12:nan 13:-4.28627e-08
1 1:0.00300139 2:-0.00215451 3:0.00661353 4:0.0102582 5:0.0027264 6:0.0456214 7:0.76847 8:0.204351 9:0.0271796 10:0.0086364 11:0.97282 12:0.200742 13:0.0215932
1 1:0.0163263 2:0.00329617 3:-0.0101296 4:0.0156565 5:-0.00723838 6:0.0810689 7:0.797122 8:0.0515401 9:0.151338 10:0.0261407 11:0.848662 12:0.331594 13:0.111753
0 1:0.00116477 2:-0.0116329 3:-0.00701946 4:0.116258 5:0.0701831 6:0.465468 7:0.783665 8:0.216333 9:1.59556e-06 10:0.0033616 11:0.999998 12:0.587498 13:1.31177e-06
0 1:0.00792297 2:-0.0794502 3:0.00312238 4:0.796712 5:-0.0313216 6:0.550984 7:0.323256 8:0.676744 9:-2.12736e-08 10:-nan 11:1 12:nan 13:-1.26875e-08
1 1:0.00928193 2:0.00188369 3:-0.0159131 4:0.00742071 5:-0.00035869 6:0.0806234 7:0.89791 8:0.0458009 9:0.0562892 10:0.0150492 11:0.943711 12:0.274229 13:0.048593
0 1:0.00163693 2:0.00131578 3:0.00783101 4:0.00105778 5:0.00629121 6:0.174475 7:0.987952 8:0.012048 9:4.92755e-07 10:0.000316988 11:0.999999 12:0.318062 13:4.86889e-07
